ham	Hey, are you coming to dinner tonight?
ham	I will be there in 10 minutes
spam	FREE MONEY! Click this link to claim your prize now!
ham	Can you pick up some milk from the store?
spam	URGENT! Your bank account has been compromised, click here to secure it
ham	Thanks for your email, I will reply soon
spam	YOU WON $1,000,000! Send us your bank details to claim
ham	See you at the meeting tomorrow at 10am
spam	CONGRATULATIONS! You have been selected for a free iPhone
ham	The weather is nice today, lets go for a walk
spam	Claim your free gift now! Only limited time offer
ham	Reminder: Doctor appointment tomorrow at 3pm
ham	Your package has been delivered to the front desk
spam	ATTENTION: Your account will be suspended, click here to verify
ham	Thanks for shopping with us! Your order is confirmed
spam	You have been selected for a free vacation! Call now!
ham	I will send the report by end of day
ham	Dont forget to bring your laptop to the meeting
spam	WINNER! You have won a brand new car!
ham	Can you please review the document I sent?
spam	Get a free iPhone now! Limited stock!
ham	Meeting has been rescheduled to Friday
ham	Your invoice is ready for payment
spam	SAVE 50% on all items today only!
ham	I will pick you up at 5pm
spam	CONGRATULATIONS! You are our lucky winner!
ham	Please submit your report by tomorrow
ham	Dinner is at 7pm, see you there
spam	FREE ACCESS to premium features now!
ham	Your order has been shipped
